,Question,Category,answer_class
103,В какие дни проходят уроки?,Расписание,22
104,Когда будет доступна запись вебинара?,Организация уроков,9
105,"Что делать, если моя налоговая служба не принимает договор с вашей школой?",Документы,29
106,Какой документ я получу после обучения?,Документы,0
107,С какой даты начинается срок обучения для возможных переводов?,Перевод/ запись в группу,11
108,Как проходят занятия на курсе?,Организация уроков,7
109,В чем основные различия между программой профессиональной переподготовки и программой повышения квалификации?,Программа обучения,20
110,Нужно ли обязательно проходить курсы в разделе 'Отдельные'?,Портал,16
111,В чем разница между программами 'Специалис' и 'Специалист с опытом'?,Программа обучения,13
112,Как начать обучение?,Портал,14
113,"Я студент, изучающий специализацию 'Тестировщик'. Какие программы мне следует установить для эффективного обучения?",Требования ПО,24
114,Что представляют собой курсы в разделе 'Отдельные'?,Портал,16
115,Как перевестись в другую группу?,Перевод/ запись в группу,11
116,Как получить помощь с трудоустройством?,Трудоустройство,26
117,Какие программные требования для специализации Программист?,Требования ПО,23
118,Какие документы необходимо предоставить для получения диплома?,Документы,2
119,Где найти список курсов на сайте GeekBrains?,Портал,14
120,Где найти записи прошедших вебинаров?,Организация уроков,9
121,"Можно ли пересдать работу, если пропущен дедлайн пересдачи?",Оценки,10
122,Можно ли получить налоговый вычет с обучения?,Документы,28
123,Как устроена программа обучения?,Программа обучения,19
124,Какие форматы обучения доступны?,Организация уроков,8
125,При каких условиях можно получить удостоверение?,Документы,3
126,Можно ли получить диплом без сдачи промежуточных и итоговых аттестаций?,Документы,1
127,Какие аккредитации или сертификаты можно ожидать после обучения?,Документы,0
128,"Что делать, если я пропустил онлайн-урок?",Организация уроков,9
129,Будут ли каникулы в этом году?,Расписание,21
130,Как включить уведомления об уроках?,Портал,17
131,Как попасть на урок?,Организация уроков,5
132,Как получить документ после обучения?,Документы,1
133,Можно ли получить налоговый вычет за курсы?,Документы,28
134,Как добавить информацию осебе в учетную запись?,Портал,18
135,Какие варианты сдачи заданий доступны?,Практические работы,12
136,"Что делать, если налоговая отказывается принять договор с вашей школой?",Документы,29
137,Каков формат уроков в моей программе?,Организация уроков,8
138,"Что делать, если я хочу изменить направление или специализацию во время обучения?",Перевод/ запись в группу,11
139,Какие разделы включены в основной курс в личном кабинете?,Портал,15
140,Какие услуги по трудоустройству предоставляет ваша школа? Какие инструменты или ресурсы будут предоставлены студентам?,Трудоустройство,27
141,"Каково расписание каникул на 2024 год, пожалуйста?",Расписание,21
142,Какие инструменты и ресурсы доступны для поиска работы после окончания обучения?,Трудоустройство,25
143,Кто осуществляет проверку моих сданных работ?,Оценки,10
144,Когда я получу свой диплом?,Документы,2
145,Какая последовательность курсов в моей программе?,Организация уроков,6
146,Где найти информацию о расписании курсов и лекций?,Расписание,22
147,"Когда нужно оплатить обучение, чтобы получить удостоверение?",Документы,3
148,Как исправить оценку 'не принято'?,Оценки,10
149,Как сдать домашнее задание на платформе?,Практические работы,12
150,Какие программы и инструменты мне нужны для обучения в тестировании?,Требования ПО,24
151,Как я могу получить помощь с трудоустройством?,Трудоустройство,26
152,Где узнать о документах или сертификатах после окончания обучения?,Документы,0
153,Где можно посмотреть трансляции вебинаров?,Организация уроков,5
154,Как отключить уведомления от вашей платформы?,Портал,17
155,Когда будет опубликовано расписание?,Организация уроков,6
156,Как получить окончательный документ об образовании?,Документы,1
157,Как настроить уведомления о предстоящих уроках в моем профиле?,Портал,17
158,Могу ли я получить бумажный диплом?,Документы,4
159,"Где найти список курсов, которые я должен пройти?",Портал,14
160,Что включено в основное обучение в личном кабинете?,Портал,15
161,Как долго будет длиться мое обучение?,Программа обучения,13
162,Какие программы и инструменты мне нужны для обучения в программировании?,Требования ПО,23
163,Что представляет собой консультация?,Организация уроков,8
164,Что включено в помощь с трудоустройством?,Трудоустройство,27
165,В чем разница между программой профессиональной переподготовки и программой повышения квалификации по структуре и длительности?,Программа обучения,20
166,Ожидать ли интерактивные уроки с возможностью задавать вопросы?,Организация уроков,7
167,Где проходят занятия?,Организация уроков,5
168,Есть ли в вашей программе мероприятия или ресурсы для помощи с трудоустройством после обучения?,Трудоустройство,25
169,Как получить диплом?,Документы,4
170,Как добавить информацию о себе в профиль?,Портал,18
171,Где найти задание для выполнения?,Практические работы,12
172,В какие дни проходят уроки?,Расписание,22
173,Когда будет доступна запись вебинара?,Организация уроков,9
174,"Что делать, если моя налоговая служба не принимает договор с вашей школой?",Документы,29
175,Какой документ я получу после обучения?,Документы,0
176,С какой даты начинается срок обучения для возможных переводов?,Перевод/ запись в группу,11
177,Как проходят занятия на курсе?,Организация уроков,7
178,В чем основные различия между программой профессиональной переподготовки и программой повышения квалификации?,Программа обучения,20
179,Нужно ли обязательно проходить курсы в разделе 'Отдельные'?,Портал,16
180,В чем разница между программами 'Специалис' и 'Специалист с опытом'?,Программа обучения,13
181,Как начать обучение?,Портал,14
182,"Я студент, изучающий специализацию 'Тестировщик'. Какие программы мне следует установить для эффективного обучения?",Требования ПО,24
183,Что представляют собой курсы в разделе 'Отдельные'?,Портал,16
184,Как перевестись в другую группу?,Перевод/ запись в группу,11
185,Как получить помощь с трудоустройством?,Трудоустройство,26
186,Какие программные требования для специализации Программист?,Требования ПО,23
187,Какие документы необходимо предоставить для получения диплома?,Документы,2
188,Где найти список курсов на сайте GeekBrains?,Портал,14
189,Где найти записи прошедших вебинаров?,Организация уроков,9
190,"Можно ли пересдать работу, если пропущен дедлайн пересдачи?",Оценки,10
191,Можно ли получить налоговый вычет с обучения?,Документы,28
192,Как устроена программа обучения?,Программа обучения,19
193,Какие форматы обучения доступны?,Организация уроков,8
194,При каких условиях можно получить удостоверение?,Документы,3
195,Можно ли получить диплом без сдачи промежуточных и итоговых аттестаций?,Документы,1
196,Какие аккредитации или сертификаты можно ожидать после обучения?,Документы,0
197,"Что делать, если я пропустил онлайн-урок?",Организация уроков,9
198,Будут ли каникулы в этом году?,Расписание,21
199,Как включить уведомления об уроках?,Портал,17
200,Как попасть на урок?,Организация уроков,5
201,Как получить документ после обучения?,Документы,1
202,Можно ли получить налоговый вычет за курсы?,Документы,28
203,Как добавить информацию осебе в учетную запись?,Портал,18
204,Какие варианты сдачи заданий доступны?,Практические работы,12
205,"Что делать, если налоговая отказывается принять договор с вашей школой?",Документы,29
206,Каков формат уроков в моей программе?,Организация уроков,8
207,"Что делать, если я хочу изменить направление или специализацию во время обучения?",Перевод/ запись в группу,11
208,Какие разделы включены в основной курс в личном кабинете?,Портал,15
209,Какие услуги по трудоустройству предоставляет ваша школа? Какие инструменты или ресурсы будут предоставлены студентам?,Трудоустройство,27
210,"Каково расписание каникул на 2024 год, пожалуйста?",Расписание,21
211,Какие инструменты и ресурсы доступны для поиска работы после окончания обучения?,Трудоустройство,25
212,Кто осуществляет проверку моих сданных работ?,Оценки,10
213,Когда я получу свой диплом?,Документы,2
214,Какая последовательность курсов в моей программе?,Организация уроков,6
215,Где найти информацию о расписании курсов и лекций?,Расписание,22
216,"Когда нужно оплатить обучение, чтобы получить удостоверение?",Документы,3
217,Как исправить оценку 'не принято'?,Оценки,10
218,Как сдать домашнее задание на платформе?,Практические работы,12
219,Какие программы и инструменты мне нужны для обучения в тестировании?,Требования ПО,24
220,Как я могу получить помощь с трудоустройством?,Трудоустройство,26
221,Где узнать о документах или сертификатах после окончания обучения?,Документы,0
222,Где можно посмотреть трансляции вебинаров?,Организация уроков,5
223,Как отключить уведомления от вашей платформы?,Портал,17
224,Когда будет опубликовано расписание?,Организация уроков,6
225,Как получить окончательный документ об образовании?,Документы,1
226,Как настроить уведомления о предстоящих уроках в моем профиле?,Портал,17
227,Могу ли я получить бумажный диплом?,Документы,4
228,"Где найти список курсов, которые я должен пройти?",Портал,14
229,Что включено в основное обучение в личном кабинете?,Портал,15
230,Как долго будет длиться мое обучение?,Программа обучения,13
231,Какие программы и инструменты мне нужны для обучения в программировании?,Требования ПО,23
232,Что представляет собой консультация?,Организация уроков,8
233,Что включено в помощь с трудоустройством?,Трудоустройство,27
234,В чем разница между программой профессиональной переподготовки и программой повышения квалификации по структуре и длительности?,Программа обучения,20
235,Ожидать ли интерактивные уроки с возможностью задавать вопросы?,Организация уроков,7
236,Где проходят занятия?,Организация уроков,5
237,Есть ли в вашей программе мероприятия или ресурсы для помощи с трудоустройством после обучения?,Трудоустройство,25
238,Как получить диплом?,Документы,4
239,Как добавить информацию о себе в профиль?,Портал,18
240,Где найти задание для выполнения?,Практические работы,12
241,В какие дни проходят уроки?,Расписание,22
242,Когда будет доступна запись вебинара?,Организация уроков,9
243,"Что делать, если моя налоговая служба не принимает договор с вашей школой?",Документы,29
244,Какой документ я получу после обучения?,Документы,0
245,С какой даты начинается срок обучения для возможных переводов?,Перевод/ запись в группу,11
246,Как проходят занятия на курсе?,Организация уроков,7
247,В чем основные различия между программой профессиональной переподготовки и программой повышения квалификации?,Программа обучения,20
248,Нужно ли обязательно проходить курсы в разделе 'Отдельные'?,Портал,16
249,В чем разница между программами 'Специалис' и 'Специалист с опытом'?,Программа обучения,13
250,Как начать обучение?,Портал,14
251,"Я студент, изучающий специализацию 'Тестировщик'. Какие программы мне следует установить для эффективного обучения?",Требования ПО,24
252,Что представляют собой курсы в разделе 'Отдельные'?,Портал,16
253,Как перевестись в другую группу?,Перевод/ запись в группу,11
254,Как получить помощь с трудоустройством?,Трудоустройство,26
255,Какие программные требования для специализации Программист?,Требования ПО,23
256,Какие документы необходимо предоставить для получения диплома?,Документы,2
257,Где найти список курсов на сайте GeekBrains?,Портал,14
258,Где найти записи прошедших вебинаров?,Организация уроков,9
259,"Можно ли пересдать работу, если пропущен дедлайн пересдачи?",Оценки,10
260,Можно ли получить налоговый вычет с обучения?,Документы,28
261,Как устроена программа обучения?,Программа обучения,19
262,Какие форматы обучения доступны?,Организация уроков,8
263,При каких условиях можно получить удостоверение?,Документы,3
264,Можно ли получить диплом без сдачи промежуточных и итоговых аттестаций?,Документы,1
265,Какие аккредитации или сертификаты можно ожидать после обучения?,Документы,0
266,"Что делать, если я пропустил онлайн-урок?",Организация уроков,9
267,Будут ли каникулы в этом году?,Расписание,21
268,Как включить уведомления об уроках?,Портал,17
269,Как попасть на урок?,Организация уроков,5
270,Как получить документ после обучения?,Документы,1
271,Можно ли получить налоговый вычет за курсы?,Документы,28
272,Как добавить информацию осебе в учетную запись?,Портал,18
273,Какие варианты сдачи заданий доступны?,Практические работы,12
274,"Что делать, если налоговая отказывается принять договор с вашей школой?",Документы,29
275,Каков формат уроков в моей программе?,Организация уроков,8
